Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
1.234556;-8.848747;12.347661;2.444189;;;;;1.234556;-13.577179;2.469218;25.435202
1.242842;-8.476363;12.430532;2.460689;;;;;1.242842;-13.577179;2.48579;25.775673
1.251128;-8.077013;12.513401;2.477173;;;;;1.251128;-13.577179;2.502362;26.108885
1.259413;-7.647701;12.596272;2.493648;;;;;1.259413;-13.577179;2.518934;26.433912
1.267699;-7.191894;12.679142;2.510129;;;;;1.267699;-13.577179;2.535506;26.750345
1.275985;-6.699222;12.762012;2.526626;;;;;1.275985;-13.577179;2.552078;27.056063
1.28427;-6.172377;12.844882;2.543113;;;;;1.28427;-13.577179;2.56865;27.353121
1.292556;-5.61017;12.927752;2.559591;;;;;1.292556;-13.577179;2.585222;27.64539
1.300841;-5.007764;13.010623;2.576079;;;;;1.300841;-13.577179;2.601794;27.931448
1.309127;-4.37098;13.093493;2.592564;;;;;1.309127;-13.577179;2.618366;28.211454
1.317413;-3.69146;13.176363;2.609055;;;;;1.317413;-13.577179;2.634938;28.483927
1.325698;-2.974975;13.259233;2.625531;;;;;1.325698;-13.577179;2.651509;28.746981
1.333984;-2.205918;13.342103;2.642017;;;;;1.333984;-13.577179;2.668081;29.000879
1.342269;-1.392023;13.424973;2.65851;;;;;1.342269;-13.577179;2.684653;29.249283
1.350555;-0.533387;13.507844;2.674999;;;;;1.350555;-13.577179;2.701225;29.489895
1.358841;0.358778;13.590714;2.691471;;;;;1.358841;-13.577179;2.717797;29.720781
1.367126;1.291064;13.673584;2.707959;;;;;1.367126;-13.577179;2.734369;29.941074
1.375412;2.26968;13.756454;2.724457;;;;;1.375412;-13.577179;2.750941;30.150017
1.383698;3.306971;13.839325;2.740938;;;;;1.383698;-13.577179;2.767513;30.349993
1.391983;4.411241;13.922194;2.757416;;;;;1.391983;-13.577179;2.784085;30.541868
1.400269;5.573467;14.005065;2.773904;;;;;1.400269;-13.577179;2.800657;30.728647
1.408554;6.798272;14.087935;2.790393;;;;;1.408554;-13.577179;2.817229;30.907318
1.41684;8.084458;14.170806;2.806881;;;;;1.41684;-13.577179;2.833801;31.076584
1.425126;9.425431;14.253675;2.823351;;;;;1.425126;-13.577179;2.850373;31.235277
