Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;;;;;;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;;;;;;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;;;;;;
-24.081514;3.679883;-19.597628;0;;;;;;;1.120817;0.118031;-24.081514;0.032539;;;;;;
-24.069464;3.878424;-19.537363;0;;;;;;;1.132868;0.118659;-24.069464;0.032601;;;;;;
-24.057411;4.081075;-19.477097;0;;;;;;;1.14492;0.119288;-24.057411;0.032617;;;;;;
-24.045361;4.289263;-19.416832;0;;;;;;;1.156971;0.119916;-24.045361;0.032632;;;;;;
-24.033308;4.495315;-19.356565;0;;;;;;;1.169024;0.120545;-24.033308;0.032685;;;;;;
-24.021255;4.703294;-19.296299;0;;;;;;;1.181076;0.121173;-24.021255;0.03271;;;;;;
-24.009205;4.913688;-19.236034;0;;;;;;;1.193127;0.121802;-24.009205;0.032712;;;;;;
-23.997152;5.119812;-19.17577;0;;;;;;;1.205179;0.122431;-23.997152;0.032724;;;;;;
-23.9851;5.315594;-19.115503;0;;;;;;;1.217232;0.123088;-23.9851;0.032767;;;;;;
-23.973049;5.500352;-19.055237;0;;;;;;;1.229282;0.123746;-23.973049;0.032785;;;;;;
-23.960997;5.668302;-18.994972;0;;;;;;;1.241335;0.124404;-23.960997;0.032828;;;;;;
-23.948946;5.82125;-18.934706;0;;;;;;;1.253386;0.125061;-23.948946;0.032806;;;;;;
-23.936893;5.95531;-18.874441;0;;;;;;;1.265438;0.125719;-23.936893;0.032813;;;;;;
-23.924841;6.06755;-18.814175;0;;;;;;;1.277491;0.126377;-23.924841;0.032856;;;;;;
-23.91279;6.1614;-18.75391;0;;;;;;;1.289541;0.127034;-23.91279;0.032892;;;;;;
-23.900738;6.234016;-18.693644;0;;;;;;;1.301594;0.127692;-23.900738;0.032886;;;;;;
-23.888687;6.283214;-18.633377;0;;;;;;;1.313644;0.12835;-23.888687;0.032857;;;;;;
-23.876635;6.312788;-18.573112;0;;;;;;;1.325697;0.129007;-23.876635;0.032858;;;;;;
-23.864582;6.31489;-18.512848;0;;;;;;;1.337749;0.129694;-23.864582;0.032892;;;;;;
-23.852531;6.297546;-18.452581;0;;;;;;;jan.98;0.13038;-23.852531;0.032908;;;;;;
-23.840479;6.262297;-18.392315;0;;;;;;;1.361853;0.131066;-23.840479;0.032967;;;;;;
-23.828426;6.214227;-18.33205;0;;;;;;;1.373903;0.131752;-23.828426;0.032991;;;;;;
-23.816376;6.154809;-18.271784;0;;;;;;;1.385956;0.132439;-23.816376;0.033031;;;;;;
-23.804323;6.081355;-18.211519;0;;;;;;;1.398008;0.133125;-23.804323;0.033056;;;;;;
-23.792273;5.999583;-18.151253;0;;;;;;;1.410059;0.133811;-23.792273;0.033082;;;;;;
-23.78022;5.907306;-18.090988;0;;;;;;;1.422112;0.134498;-23.78022;0.0331;;;;;;
-23.768169;5.80369;-18.030722;0;;;;;;;1.434164;0.135184;-23.768169;0.03311;;;;;;
-23.756117;5.696279;-17.970455;0;;;;;;;1.446215;0.13587;-23.756117;0.033161;;;;;;
-23.744064;5.586245;-17.910191;0;;;;;;;1.458267;0.136585;-23.744064;0.033199;;;;;;
-23.732014;5.477612;-17.849926;0;;;;;;;1.470318;0.137299;-23.732014;0.0332;;;;;;
-23.719961;5.362563;-17.78966;0;;;;;;;1.48237;0.138013;-23.719961;0.033249;;;;;;
-23.707909;5.250686;-17.729393;0;;;;;;;1.494423;0.138728;-23.707909;0.033248;;;;;;
-23.695858;5.140198;-17.669128;0;;;;;;;1.506474;0.139442;-23.695858;0.03336;;;;;;
-23.683805;5.032238;-17.608862;0;;;;;;;1.518526;0.140156;-23.683805;0.033449;;;;;;
-23.671755;4.934644;-17.548597;0;;;;;;;1.530577;0.140871;-23.671755;0.033553;;;;;;
-23.659702;4.84095;-17.488331;0;;;;;;;1.542629;0.141585;-23.659702;0.033653;;;;;;
-23.64765;4.753836;-17.428066;0;;;;;;;1.554682;0.1423;-23.64765;0.033739;;;;;;
-23.635599;4.680635;-17.3678;0;;;;;;;1.566732;0.143014;-23.635599;0.03383;;;;;;
-23.623547;4.611554;-17.307533;0;;;;;;;1.578785;0.143756;-23.623547;0.033888;;;;;;
-23.611496;4.55421;-17.247269;0;;;;;;;1.590836;0.144498;-23.611496;0.033937;;;;;;
-23.599443;4.510133;-17.187004;0;;;;;;;1.602888;0.145239;-23.599443;0.033997;;;;;;
-23.587391;4.477779;-17.126738;0;;;;;;;1.614941;0.145981;-23.587391;0.034095;;;;;;
-23.57534;4.456578;-17.066471;0;;;;;;;1.626991;0.146723;-23.57534;0.034171;;;;;;
-23.563288;4.447168;-17.006207;0;;;;;;;1.639044;0.147465;-23.563288;0.034289;;;;;;
-23.551235;4.44934;-16.945942;0;;;;;;;1.651094;0.148207;-23.551235;0.034379;;;;;;
-23.539185;4.463806;-16.885675;0;;;;;;;1.663147;0.148949;-23.539185;0.034461;;;;;;
-23.527132;4.493007;-16.825409;0;;;;;;;jan.52;0.14969;-23.527132;0.034492;;;;;;
-23.515081;4.529253;-16.765144;0;;;;;;;1.68725;0.150432;-23.515081;0.034654;;;;;;
-23.503029;4.580902;-16.704878;0;;;;;;;1.699303;0.151201;-23.503029;0.034806;;;;;;
-23.490978;4.643337;-16.644611;0;;;;;;;1.711355;0.15197;-23.490978;0.035001;;;;;;
-23.478926;4.71716;-16.584347;0;;;;;;;1.723406;0.152738;-23.478926;0.035197;;;;;;
-23.466873;4.799251;-16.524082;0;;;;;;;1.735458;0.153507;-23.466873;0.035359;;;;;;
-23.454823;4.886656;-16.463816;0;;;;;;;1.747509;0.154276;-23.454823;0.035561;;;;;;
-23.44277;4.984617;-16.403549;0;;;;;;;1.759562;0.155044;-23.44277;0.035767;;;;;;
-23.430717;5.092658;-16.343285;0;;;;;;;1.771614;0.155813;-23.430717;0.036045;;;;;;
-23.418667;5.207899;-16.28302;0;;;;;;;1.783665;0.156581;-23.418667;0.036324;;;;;;
-23.406614;5.325933;-16.222754;0;;;;;;;1.795717;0.15735;-23.406614;0.036635;;;;;;
-23.394564;5.45471;-16.162487;0;;;;;;;1.807768;0.158119;-23.394564;0.037022;;;;;;
-23.382511;5.584847;-16.102222;0;;;;;;;1.81982;0.158511;-23.382511;0.037399;;;;;;
-23.370459;5.716705;-16.041956;0;;;;;;;1.831873;0.158904;-23.370459;0.037822;;;;;;
-23.358408;5.851094;-15.98169;0;;;;;;;1.843924;0.159297;-23.358408;0.038279;;;;;;
-23.346355;5.988221;-15.921425;0;;;;;;;1.855976;0.159689;-23.346355;0.038715;;;;;;
-23.334305;6.126128;-15.861159;0;;;;;;;1.868027;0.160082;-23.334305;0.039175;;;;;;
-23.322252;6.265048;-15.800894;0;;;;;;;1.880079;0.160475;-23.322252;0.039725;;;;;;
-23.3102;6.40159;-15.740628;0;;;;;;;1.892132;0.160867;-23.3102;0.040256;;;;;;
-23.298149;6.537042;-15.680363;0;;;;;;;1.904182;0.16126;-23.298149;0.040839;;;;;;
-23.286097;6.669503;-15.620097;0;;;;;;;1.916235;0.161652;-23.286097;0.041451;;;;;;
-23.274044;6.800355;-15.559832;0;;;;;;;1.928288;0.162045;-23.274044;0.042114;;;;;;
-23.261993;6.928755;-15.499566;0;;;;;;;1.940338;0.162853;-23.261993;0.042724;;;;;;
-23.249941;7.055172;-15.4393;0;;;;;;;1.952391;0.16366;-23.249941;0.043421;;;;;;
-23.23789;7.179865;-15.379034;0;;;;;;;1.964441;0.164468;-23.23789;0.044165;;;;;;
-23.225838;7.297716;-15.318769;0;;;;;;;1.976494;0.165275;-23.225838;0.044963;;;;;;
-23.213785;7.412244;-15.258503;0;;;;;;;1.988546;0.166083;-23.213785;0.045772;;;;;;
-23.201735;7.524418;-15.198237;0;;;;;;;2.000597;0.166891;-23.201735;0.046641;;;;;;
-23.189682;7.632079;-15.137972;0;;;;;;;2.01265;0.167698;-23.189682;0.047522;;;;;;
-23.177631;7.734856;-15.077706;0;;;;;;;2.0247;0.168506;-23.177631;0.048503;;;;;;
-23.165579;7.833492;-15.017441;0;;;;;;;2.036753;0.169314;-23.165579;0.049483;;;;;;
-23.153526;7.925378;-14.957175;0;;;;;;;2.048805;0.170121;-23.153526;0.050603;;;;;;
-23.141476;8.009876;-14.89691;0;;;;;;;2.060856;0.170954;-23.141476;0.051739;;;;;;
-23.129423;8.091674;-14.836644;0;;;;;;;2.072908;0.171787;-23.129423;0.052846;;;;;;
-23.117373;8.166614;-14.776378;0;;;;;;;2.084959;0.172619;-23.117373;0.054015;;;;;;
-23.10532;8.235128;-14.716112;0;;;;;;;2.097012;0.173452;-23.10532;0.055259;;;;;;
-23.093267;8.299276;-14.655847;0;;;;;;;2.109064;0.174285;-23.093267;0.056589;;;;;;
-23.081217;8.358495;-14.595581;0;;;;;;;2.121115;0.175118;-23.081217;0.057997;;;;;;
-23.069164;8.414055;-14.535316;0;;;;;;;2.133167;0.17595;-23.069164;0.059493;;;;;;
-23.057114;8.460348;-14.47505;0;;;;;;;2.145218;0.176783;-23.057114;0.061021;;;;;;
-23.045061;8.501963;-14.414784;0;;;;;;;2.15727;0.177616;-23.045061;0.062507;;;;;;
-23.033009;8.542068;-14.354519;0;;;;;;;2.169323;0.178448;-23.033009;0.064125;;;;;;
-23.020958;8.578608;-14.294253;0;;;;;;;2.181374;0.179306;-23.020958;0.065814;;;;;;
